#step		Np	Ntr	i_sys	dt[i_sys]		t_tmp[yr]		t_sys[yr]
8.950000e+09	 17	     0	     1	5.649862994552194e-04	4.329999999999995e+05	1.956462160948328e+02
9.000000e+09	 17	     0	    10	6.209003690991513e-04	4.349999999999995e+05	6.659413234859071e+02
9.050000e+09	 17	     0	     5	8.850912977732657e-04	4.379999999999995e+05	1.425271271455559e+02
9.100000e+09	 17	     0	    10	1.326276030541330e-03	4.399999999999995e+05	6.042878897043237e+02
9.150000e+09	 17	     0	    12	2.670046645884502e-03	4.429999999999995e+05	5.856114049379003e+01
9.200000e+09	 17	     0	     2	5.042386700010194e-04	4.449999999999995e+05	5.155483879864080e+02
9.250000e+09	 17	     0	     3	6.889008521000602e-04	4.469999999999995e+05	9.803010513467834e+02
9.300000e+09	 17	     0	     9	5.260076150910270e-04	4.499999999999995e+05	4.353773125393363e+02
9.350000e+09	 17	     0	    11	6.967930588543972e-04	4.519999999999995e+05	8.949361973920733e+02
9.400000e+09	 17	     0	    14	2.558662397599522e-03	4.549999999999995e+05	3.658098311644982e+02
9.450000e+09	 17	     0	     3	3.790978446142220e-04	4.569999999999995e+05	8.428370421805674e+02
9.500000e+09	 17	     0	     6	4.682381850409342e-04	4.599999999999994e+05	3.214783333844414e+02
9.550000e+09	 17	     0	     5	6.774643440840031e-04	4.619999999999994e+05	7.977514496068673e+02
9.600000e+09	 17	     0	     3	2.954815158073682e-04	4.649999999999994e+05	2.714030239254846e+02
9.650000e+09	 17	     0	     2	4.390824498459600e-04	4.669999999999994e+05	7.257583785196532e+02
9.700000e+09	 17	     0	    11	5.272752014103219e-04	4.699999999999994e+05	1.562194804085562e+02
9.750000e+09	 17	     0	     1	3.904623172025963e-04	4.719999999999994e+05	5.506061230944023e+02
9.800000e+09	 17	     0	     1	4.443751058834492e-04	4.739999999999994e+05	9.594430234762234e+02
9.850000e+09	 17	     0	    11	6.761291389100327e-04	4.769999999999994e+05	3.965610994511587e+02
9.900000e+09	 17	     0	     3	5.470727283368822e-04	4.789999999999994e+05	8.431394945750690e+02
9.950000e+09	 17	     0	    11	5.627350705912956e-04	4.819999999999994e+05	2.805114411715240e+02
#step		Np	Ntr	i_sys	dt[i_sys]		t_tmp[yr]		t_sys[yr]
1.000000e+10	 17	     0	     2	3.748076960223777e-04	4.839999999999994e+05	7.162113377155991e+02
1.005000e+10	 17	     0	     6	2.768864764883373e-04	4.869999999999994e+05	1.515045901112796e+02
1.010000e+10	 17	     0	    16	3.381571710528144e-03	4.889999999999994e+05	5.644643578121531e+02
1.015000e+10	 17	     0	    12	1.459858188541398e-03	4.909999999999994e+05	9.774227122106677e+02
1.020000e+10	 17	     0	    16	2.964787098021773e-03	4.939999999999994e+05	3.787502500880819e+02
1.025000e+10	 17	     0	     2	3.087082671845719e-04	4.959999999999994e+05	7.824329975590566e+02
1.030000e+10	 17	     0	     6	4.012307556309673e-04	4.989999999999994e+05	1.832470852506342e+02
1.035000e+10	 17	     0	     5	7.811584510730962e-04	5.009999999999994e+05	5.949627238364013e+02
1.040000e+10	 17	     0	     1	7.727547882355059e-04	5.039999999999994e+05	1.585480193073294e+01
1.045000e+10	 17	     0	     2	4.763331252450646e-04	5.059999999999994e+05	4.407638765541305e+02
1.050000e+10	 17	     0	     1	2.995992989729751e-04	5.079999999999994e+05	8.697239688304636e+02
1.055000e+10	 17	     0	     1	4.951154651202021e-04	5.109999999999994e+05	3.015756382241299e+02
1.060000e+10	 17	     0	     6	4.214243410853220e-04	5.129999999999994e+05	7.071605400227673e+02
