myid = 2	numprocs = 40
OMP_NUM_THREADS: 1
threads: 1
. 
file: '../data/Ntr1E2_t1E8_dtlog_Mtot3E-7_Mmax5E-15_ecc5E-2_nofrag_acc/rand03/tempread.dat' does not exist. Start the initialization.
-----
DIRECTORY	../data/Ntr1E2_t1E8_dtlog_Mtot3E-7_Mmax5E-15_ecc5E-2_nofrag_acc/
N_tr	100
N_p	1
RAND_SEED	RAND_SEED
STEP_INTERVAL	1.0E7
BREAK_TIME	14100.0
ENERGY_FILE	1
ORBITALELEMENTS_FILE	1
POSI_VELO_FILE	0
POSI_VELO_ROT_FILE	0
COLLISION_FILE	1
EXECUTION_TIME	1
INTERACTION_ALL	0
INTERACTION_PLANET_TRACER	1
INTERACTION_TEST_PARTICLE	0
INDIRECT_TERM	1
FRAGMENTATION	0
COLLISION	1
COALESCENCE	1
RELOCATE_PARTICLE	0
EJECTION	0
ORBITING_SMALL_PARTICLE	1
ELIMINATE_PARTICLE	1
ETA	3.0E-2
ITE_MAX	2
SOLAR_RADIUS	0.00465040106951872
SOLAR_SYSTEM_LIMIT	100.0
PLANET_MASS	3.0E-6
PLANET_AXIS	1.0
PLANET_ECC	(0.01*5.0)
PLANET_INC	((0.01*5.0)*0.5)
PLANET_DENSITY	3.0
M_TOT	(3.0E-7*1)
ECC_RMS	(0.01*5.0)
INC_RMS	((0.01*5.0)*0.5)
DELTA_HILL	10.0
T_MAX	(2.0*3.14159265358979323846*1.0E8)
DT_LOG	1
DT_ENE	(2.0*3.14159265358979323846*1.0E-1)
GEOMETRIC_RATIO	pow(10.0,1.0/8.0)
-----
-----
#step		Np	Ntr	i_sys	dt[i_sys]		t_tmp[yr]		t_sys[yr]
1.270000e+09	  1	    94	    27	5.729017829675362e-03	5.623413251903477e+04	3.142576781686920e+03
1.280000e+09	  1	    94	    35	4.502872699047336e-03	5.623413251903477e+04	3.624585850185855e+03
1.290000e+09	  1	    94	    50	5.353957017507941e-03	5.623413251903477e+04	4.105532754691797e+03
1.300000e+09	  1	    94	    51	3.278771434732413e-03	5.623413251903477e+04	4.587446888465181e+03
1.310000e+09	  1	    94	    55	4.257338041638462e-03	5.623413251903477e+04	5.070993503365768e+03
1.320000e+09	  1	    94	    35	4.606689435161305e-03	5.623413251903477e+04	5.553946197898801e+03
1.330000e+09	  1	    94	    64	6.134803639287956e-03	5.623413251903477e+04	6.035344408916068e+03
1.340000e+09	  1	    94	    31	6.868804407816013e-03	5.623413251903477e+04	6.514961783313154e+03
1.350000e+09	  1	    94	    90	4.889554229188312e-03	5.623413251903477e+04	6.991746124984621e+03
1.360000e+09	  1	    94	    52	3.296751157075411e-03	5.623413251903477e+04	7.468483829082255e+03
1.370000e+09	  1	    94	    42	3.892692730967635e-03	5.623413251903477e+04	7.944980328808791e+03
1.380000e+09	  1	    94	    93	4.235905515466553e-03	5.623413251903477e+04	8.420907187961915e+03
1.390000e+09	  1	    94	    26	2.806532551294571e-03	5.623413251903477e+04	8.896988346457556e+03
1.400000e+09	  1	    94	    76	4.258200561494134e-03	5.623413251903477e+04	9.373524224916377e+03
1.410000e+09	  1	    94	    15	1.850428865570175e-03	5.623413251903477e+04	9.851860430713981e+03
1.420000e+09	  1	    94	    48	6.409015673872040e-03	5.623413251903477e+04	1.033154855225749e+04
1.430000e+09	  1	    94	    42	5.040376610402903e-03	5.623413251903477e+04	1.081043528142123e+04
1.440000e+09	  1	    94	    10	2.778514568350437e-03	5.623413251903477e+04	1.129049403560673e+04
1.450000e+09	  1	    94	    88	2.467039795084599e-03	5.623413251903477e+04	1.177276921260840e+04
1.460000e+09	  1	    94	    94	4.681304517856841e-03	5.623413251903477e+04	1.225517581411580e+04
1.470000e+09	  1	    94	    39	3.682650238449626e-03	5.623413251903477e+04	1.273797568224563e+04
1.480000e+09	  1	    94	    68	4.655202954008896e-03	5.623413251903477e+04	1.322355564093856e+04
1.490000e+09	  1	    94	    50	4.407251459931262e-03	5.623413251903477e+04	1.371017158093162e+04
#step		Np	Ntr	i_sys	dt[i_sys]		t_tmp[yr]		t_sys[yr]
1.500000e+09	  1	    94	    65	7.684899452894512e-03	5.623413251903477e+04	1.419774932993106e+04
1.510000e+09	  1	    94	    39	3.973661495817610e-03	5.623413251903477e+04	1.468399658764642e+04
1.520000e+09	  1	    94	     6	3.460646540573349e-03	5.623413251903477e+04	1.516785704435800e+04
1.530000e+09	  1	    94	    18	4.889275358024320e-03	5.623413251903477e+04	1.565352623766593e+04
1.540000e+09	  1	    94	    21	4.833681802702304e-03	5.623413251903477e+04	1.613922713269829e+04
1.550000e+09	  1	    94	    33	8.149827626899231e-03	5.623413251903477e+04	1.662365786818120e+04
1.560000e+09	  1	    94	    27	2.556074914642731e-03	5.623413251903477e+04	1.710629374710139e+04
1.570000e+09	  1	    94	    70	5.217728745457321e-03	5.623413251903477e+04	1.758619506842301e+04
1.580000e+09	  1	    94	    10	3.376777339922851e-03	5.623413251903477e+04	1.806602084150259e+04
1.590000e+09	  1	    94	    37	4.383429253605237e-03	5.623413251903477e+04	1.854484200808278e+04
1.600000e+09	  1	    94	    53	3.941586481007878e-03	7.498942093324540e+04	2.681482332090794e+02
1.610000e+09	  1	    94	     9	4.558752383387813e-03	7.498942093324540e+04	7.467730512838900e+02
1.620000e+09	  1	    94	    88	2.361452552864618e-03	7.498942093324540e+04	1.226582373221597e+03
1.630000e+09	  1	    94	    92	4.976279149133558e-03	7.498942093324540e+04	1.709050309247537e+03
1.640000e+09	  1	    94	     6	3.743657022706780e-03	7.498942093324540e+04	2.193198431511060e+03
1.650000e+09	  1	    94	    84	3.404437440772345e-03	7.498942093324540e+04	2.677475479454891e+03
1.660000e+09	  1	    94	    42	4.600306901872403e-03	7.498942093324540e+04	3.160093461533392e+03
1.670000e+09	  1	    94	    82	4.029465168787198e-03	7.498942093324540e+04	3.642247579595272e+03
1.680000e+09	  1	    94	    43	4.874765700346107e-03	7.498942093324540e+04	4.122762800820852e+03
1.690000e+09	  1	    94	    31	4.656839191342577e-03	7.498942093324540e+04	4.600293363206213e+03
1.700000e+09	  1	    94	    53	5.793132992070477e-03	7.498942093324540e+04	5.077689681477539e+03
1.710000e+09	  1	    94	    51	3.173812307132656e-03	7.498942093324540e+04	5.555784691120015e+03
1.720000e+09	  1	    94	    72	5.363253722423984e-03	7.498942093324540e+04	6.035009395415305e+03
1.730000e+09	  1	    94	    16	3.456746250931077e-03	7.498942093324540e+04	6.514694400813758e+03
1.740000e+09	  1	    94	    54	3.536386880965016e-03	7.498942093324540e+04	6.993129555620899e+03
1.750000e+09	  1	    94	    72	3.169226110531815e-03	7.498942093324540e+04	7.472411103976533e+03
